brand,model,model_year,mileage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price
Chrysler,300C SRT8,2006,43000,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,19995
Bentley,Continental GT W12,2017,14684,Gasoline,Automatic,White,White,None reported,Yes,130000
BMW,M4 Base,2019,57800,Gasoline,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,55999
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,Manual,Silver,Gray,None reported,Yes,49950
Audi,RS 5 2.9T,2019,21240,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,59950
Porsche,Cayenne Base,2019,59338,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499
Maserati,Quattroporte S,2019,23230,Gasoline,Automatic,Black,Black,None reported,Yes,44999
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,30000
Lexus,ES 330 Base,2005,41059,Gasoline,Automatic,White,Beige,None reported,Yes,11100
Porsche,Cayman GTS,2015,11500,Gasoline,Automatic,Silver,–,None reported,Yes,72000
Genesis,G90 3.3T Premium,2021,9950,Gasoline,Automatic,Silver,Blue,None reported,Yes,53950
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,Manual,White,Black,None reported,Yes,47999
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,Yes,15900
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,45000
BMW,740 Li,2012,85252,Gasoline,Automatic,Black,Black,None reported,Yes,18500
Mercedes-benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,Yes,80000
BMW,M6 Base,2016,25500,Gasoline,Automatic,White,Black,None reported,Yes,55000
Hyundai,Elantra N Base,2023,3800,Gasoline,Manual,White,Black,None reported,Yes,34000
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,Automatic,Horizon blue,Charcoal,None reported,Yes,31995
Mercedes-benz,SLC 300 Base,2018,33000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,29900
BMW,435 Gran Coupe i,2016,76009,Gasoline,Automatic,White,Beige,None reported,Yes,24950
Lexus,RC 350 Base,2015,48000,Gasoline,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900
BMW,525 i,2005,91420,Gasoline,Automatic,Black,Black,None reported,Yes,8900
Toyota,Corolla LE,2003,124756,Gasoline,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,4995
GMC,Acadia SLT-1,2012,116226,Gasoline,Automatic,Black,Black,None reported,Yes,7900
BMW,i8 Base,2019,41500,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000
Cadillac,CT5-V V-Series,2022,4451,Gasoline,Automatic,Summit white,Jet black,At least 1 accident or damage reported,Yes,55655
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500
Jeep,Gladiator Rubicon,2022,27300,Gasoline,Automatic,Green,Black,None reported,Yes,47500
BMW,Z4 sDrive28i,2014,36812,Gasoline,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18000
Cadillac,XT4 Sport,2019,44500,Gasoline,Automatic,Blue,White,None reported,Yes,28900
Bentley,Arnage R,2005,8332,Gasoline,Automatic,White,Beige,None reported,Yes,47350
Mercedes-benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,Automatic,Bright white clearcoat,Black,None reported,Yes,32662
Audi,A5 2.0T Premium,2011,92203,Gasoline,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995
Nissan,GT-R Premium,2010,15600,Gasoline,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500
Toyota,Corolla LE,2010,72348,Gasoline,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,9995
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,23000
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,Automatic,Summit white,Medium pewter,None reported,Yes,22495
INFINITI,Q70h Base,2016,52750,Hybrid,Automatic,White,Black,At least 1 accident or damage reported,Yes,28998
Chrysler,Pacifica Touring,2017,87305,–,Automatic,Silver,Black,None reported,Yes,9000
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,Automatic,Black,Black,None reported,Yes,30000
Subaru,Forester Premium,2021,42125,Gasoline,Automatic,Crystal black silica,Black,None reported,Yes,27899
Mercedes-benz,AMG C AMG C 63,2016,62000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,40000
Land,Rover LR3 HSE,2006,153843,Gasoline,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,9950
Ford,Transit Connect XLT,2015,194454,Gasoline,Automatic,White,Black,None reported,Yes,9888
Lexus,LX 570 Three-Row,2021,21000,Gasoline,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,89999
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,Gasoline,Automatic,Red,Gray,None reported,Yes,12990
Nissan,Armada SL,2021,67800,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,36500
Porsche,Cayman Base,2014,79000,Gasoline,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,42999
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,12000
BMW,M5 Base,2013,86000,Gasoline,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,32000
Hyundai,Kona N Base,2023,654,Gasoline,Automatic,Ultra black,Black,None reported,Yes,34599
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,Automatic,Black,Black,None reported,Yes,12500
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,Automatic,Beige,Black,At least 1 accident or damage reported,Yes,22800
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,39999
GMC,Acadia SLT-1,2011,120000,Gasoline,Automatic,Silver,Gray,None reported,Yes,7500
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,Automatic,Lunare white metallic,Ice,None reported,Yes,35645
Ferrari,FF Base,2016,19987,Gasoline,Automatic,Black,Brown,None reported,Yes,149900
Kia,K900 5.0L,2017,36486,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,23950
Ford,E150 XLT,2013,162100,E85 Flex Fuel,Automatic,Black,Gray,None reported,Yes,12500
Porsche,Panamera 2,2012,54000,Gasoline,Automatic,White,–,At least 1 accident or damage reported,Yes,26000
Toyota,Tacoma PreRunner,2008,202055,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,8500
RAM,2500 Laramie,2019,65000,Diesel,Automatic,Black,Black,None reported,Yes,65000
Kia,Sportage Nightfall,2022,9686,Gasoline,Automatic,Hyper red,Black,None reported,Yes,30990
Cadillac,DTS Base,2010,49620,Gasoline,Automatic,White,Gray,None reported,Yes,10499
Toyota,Land Cruiser Base,1997,213000,Gasoline,Automatic,White,Beige,None reported,Yes,26500
Nissan,GT-R Premium,2020,16010,Gasoline,Automatic,White,Black,None reported,Yes,114000
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,Automatic,Blue,Black,None reported,Yes,36499
Lexus,LX 470 Base,1999,82000,Gasoline,Automatic,White,Beige,None reported,Yes,25000
Ford,Escape Limited,2012,129000,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,7000
Lexus,LS 460 L,2014,106731,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,30000
Ford,Expedition Platinum,2019,34672,Gasoline,Automatic,White,White,None reported,Yes,45500
Chevrolet,Malibu LTZ,2010,55900,Gasoline,Transmission w/Dual Shift Mode,Beige,Beige,None reported,Yes,8950
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,Automatic,White,Brown,None reported,Yes,17000
Genesis,G70 2.0T,2023,4785,Gasoline,Automatic,Vik black,Obsidian black,None reported,Yes,42850
Scion,tC Base,2013,177600,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,7100
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,Automatic,Blue,Beige,None reported,Yes,15500
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,43000
Volvo,XC90 3.2,2011,88300,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,11500
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,27499
Audi,TT RS 2.5T,2018,20675,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,76000
Lincoln,Navigator L,2008,95000,Gasoline,Automatic,Black,Black,None reported,Yes,10900
Hyundai,Elantra GLS,2010,107000,Gasoline,Automatic,Blue,Blue,At least 1 accident or damage reported,Yes,6250
Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,24700
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,Manual,Black,Black,None reported,Yes,34999
Mercedes-benz,Maybach S S 600,2016,108500,Gasoline,Automatic,White,Beige,None reported,Yes,63500
Nissan,GT-R Premium,2017,37800,Gasoline,Transmission w/Dual Shift Mode,Orange,Orange,None reported,Yes,149500
Mazda,CX-9 Grand Touring,2021,46707,Gasoline,Automatic,Sonic silver metallic,Black,At least 1 accident or damage reported,Yes,32541
Ford,Expedition Max Limited,2022,26500,Gasoline,Automatic,White,Beige,None reported,Yes,65900
Nissan,Titan XD SV,2020,10001,Gasoline,Automatic,Black,Black,None reported,Yes,47214
Lexus,LX 570 Three-Row,2019,19050,Gasoline,Automatic,Black,Beige,None reported,Yes,76900
Chevrolet,Traverse Premier,2020,52000,Gasoline,Automatic,White,Black,None reported,Yes,35800
Mercedes-benz,Sprinter High Roof,2014,65000,Diesel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,54999
BMW,X5 3.0i,2004,140000,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,6730
Ford,Fusion SE,2018,75600,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,14950
Lincoln,MKZ Base,2015,117292,Gasoline,Automatic,Beige,Beige,None reported,Yes,12000
Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,33600
Saturn,Sky Base,2008,15020,Gasoline,Automatic,Silver,Red,None reported,Yes,18500
Mercedes-benz,SL-Class SL 550,2013,115000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,36000
Porsche,911 Carrera C2S,2005,28500,Gasoline,Manual,Silver,Black,None reported,Yes,63500
Mercedes-benz,AMG GLA 45 Base 4MATIC,2018,51700,Gasoline,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,32000
Ford,Taurus X Limited,2008,148949,Gasoline,Automatic,Blue,Beige,None reported,Yes,3900
BMW,440 Gran Coupe i,2018,39300,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,31750
Honda,S2000 CR,2008,82323,Gasoline,Manual,Black,Black,None reported,Yes,28500
Ford,Excursion Limited,2001,109357,Gasoline,Automatic,Green,Beige,None reported,Yes,12749
Mercedes-benz,SL-Class SL500 Roadster,2004,46000,Gasoline,Automatic,White,Gray,None reported,Yes,18853
Mercedes-benz,CLS-Class CLS 550,2007,123112,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,104999
INFINITI,G35 Sport,2007,37100,Gasoline,Manual,Gray,Black,None reported,Yes,16900
Volkswagen,Golf GTI 2.0T S 4-Door,2016,89000,Gasoline,Manual,Silver,Black,None reported,Yes,14500
Lincoln,Navigator L Reserve,2019,67073,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,47999
Mercedes-benz,AMG G 63 Base,2018,41000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,108900
Volkswagen,Routan SE,2012,123815,Gasoline,Automatic,Black,Gray,None reported,Yes,5000
Land,Rover Range Rover Supercharged,2008,114287,Gasoline,Automatic,Black,Black,None reported,Yes,9900
Acura,ILX 2.0L w/Premium Package,2015,75000,Gasoline,Automatic,Gold,Beige,None reported,Yes,14500
BMW,X6 sDrive35i,2016,70582,Gasoline,Automatic,Black,White,At least 1 accident or damage reported,Yes,35000
Porsche,Cayman S,2014,33088,Gasoline,Automatic,Black,Black,None reported,Yes,49750
Cadillac,DTS Luxury II,2008,94155,Gasoline,Automatic,White,Beige,None reported,Yes,10500
Cadillac,ATS 3.6L Luxury,2016,25000,Gasoline,Automatic,Red,Beige,None reported,Yes,17999
GMC,Sierra 1500 SLT,2016,99500,Gasoline,Automatic,Gray,Black,None reported,Yes,27995
INFINITI,G37 x,2009,158564,Gasoline,Automatic,Blue,Beige,None reported,Yes,8750
Ford,Transit-350 XLT,2023,20000,Gasoline,Automatic,Black,Black,None reported,Yes,78499
Cadillac,XTS Luxury,2018,46711,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,20850
Nissan,NV Passenger NV3500 HD SL V8,2017,46496,Gasoline,Automatic,Black,Gray,None reported,Yes,41000
Mercedes-benz,GLS 450 Base 4MATIC,2019,19800,Gasoline,Automatic,Silver,Black,None reported,Yes,53800
Toyota,Land Cruiser Base,2008,175000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,37900
Toyota,Land Cruiser Base,2016,61500,Gasoline,Automatic,White,Black,None reported,Yes,63500
RAM,ProMaster 2500 Window Van High Roof,2016,49750,Gasoline,Automatic,Black,Gray,None reported,Yes,65000
Lamborghini,Gallardo Base,2007,38800,Gasoline,Transmission w/Dual Shift Mode,Orange,Orange,None reported,Yes,100000
Lincoln,MKZ Base,2011,83765,Gasoline,Automatic,Black,Black,None reported,Yes,8995
Toyota,Land Cruiser Base,1993,231500,–,Automatic,White,Gray,None reported,Yes,29500
INFINITI,G37 x,2013,60058,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,15000
Maserati,Levante S,2017,54423,Gasoline,Automatic,Black,Black,None reported,Yes,33950
Ford,Shelby GT500 Base,2022,2050,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,94999
Lincoln,Navigator L Reserve,2019,64855,Gasoline,Automatic,Silver,Beige,None reported,Yes,46995
RAM,1500 Laramie,2022,18051,Gasoline,Automatic,Patriot blue pearlcoat,Black,None reported,Yes,47995
Lincoln,Town Car Base,2004,36524,Gasoline,Automatic,Black,Black,None reported,Yes,14900
Honda,CR-V EX,2003,224000,Gasoline,Manual,Black,Gray,None reported,Yes,3900
Mercedes-benz,E-Class E 550,2014,80581,Gasoline,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,26000
Mazda,MX-5 Miata Grand Touring,2007,81400,Gasoline,Manual,Red,–,At least 1 accident or damage reported,Yes,11000
Porsche,718 Boxster Base,2019,6700,Gasoline,Automatic,Gray,Black,None reported,Yes,63000
Ford,Transit-350 XLT,2015,143000,Gasoline,Automatic,Silver,Gray,None reported,Yes,22500
Kia,Sportage SX Turbo,2017,87842,Gasoline,Automatic,Black cherry,Black,None reported,Yes,18688
INFINITI,G37 S Sport,2010,116451,Gasoline,Manual,White,Gray,None reported,Yes,16500
Nissan,Titan XD S,2019,53677,Gasoline,Automatic,Red,Gray,None reported,Yes,27900
Audi,S7 2.9T Prestige,2021,12000,Hybrid,Automatic,Gray,Black,None reported,Yes,77500
Ford,Transit-350 XLT,2020,32000,Diesel,Automatic,Black,Black,None reported,Yes,68000
INFINITI,Q70 3.7,2014,70312,Gasoline,Automatic,Black,Black,None reported,Yes,19995
Jeep,Gladiator Rubicon,2022,8794,Gasoline,Automatic,White,Black,None reported,Yes,54000
Lincoln,MKX Base,2010,156000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,5900
Porsche,911 Carrera 4S,2020,25568,Gasoline,Manual,Red,Black,None reported,Yes,134999
Mercedes-benz,AMG C 43 Base 4MATIC,2018,67100,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,34250
Porsche,Cayman Base,2014,52000,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,At least 1 accident or damage reported,Yes,37000
Acura,MDX 3.7L Advance,2011,137200,Gasoline,Transmission w/Dual Shift Mode,White,Gray,None reported,Yes,12000
Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,36000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,32000
BMW,i8 Base,2015,846,Plug-In Hybrid,Automatic,White,White,None reported,Yes,86999
Porsche,Cayenne Platinum Edition,2018,50166,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,43550
Lincoln,MKZ Reserve,2017,37375,Gasoline,Automatic,Blue,Brown,None reported,Yes,27500
Porsche,718 Cayman S,2019,9500,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,69000
Chevrolet,Corvette Base,2005,143095,Gasoline,Automatic,Red,Black,None reported,Yes,16000
Acura,RSX Type S,2002,80000,Gasoline,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,8500
Porsche,Cayman S,2007,5856,Gasoline,Manual,Black,Black,None reported,Yes,45000
Mercedes-benz,AMG GLS 63 4MATIC,2022,4102,Hybrid,Automatic,Black,Black,None reported,Yes,144664
Honda,Ridgeline RTL-E,2021,14442,Gasoline,Automatic,White,Beige,None reported,Yes,38500
Mercedes-benz,CLK-Class 500 Cabriolet,2005,64000,Gasoline,Automatic,Silver,Black,None reported,Yes,12995
Lexus,GX 470 Base,2004,154000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,10000
Lexus,NX 200t Base,2015,54000,Gasoline,Automatic,White,Black,None reported,Yes,27000
Dodge,Dakota SLT Quad Cab,2007,232492,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,6000
Maserati,Ghibli S Q4 GranSport,2020,25721,Gasoline,Automatic,Blu,Nero,None reported,Yes,52645
Aston,Martin DBX Base,2021,2353,Gasoline,Automatic,Green,Sahara tan,None reported,Yes,159500
Ford,Explorer XLT,2020,61001,Gasoline,Automatic,Gray,Ebony,At least 1 accident or damage reported,Yes,28616
Mercedes-benz,AMG GLC 63 Base 4MATIC,2018,71962,Gasoline,Automatic,White,Black,None reported,Yes,46900
Subaru,BRZ Premium,2023,5800,Gasoline,Manual,Black,Black,None reported,Yes,29990
BMW,640 i,2016,40080,Gasoline,Automatic,Black,Black,None reported,Yes,28499
Kia,Stinger GT2,2020,57000,Gasoline,Automatic,Black,Red,At least 1 accident or damage reported,Yes,36500
Subaru,Forester 2.5 XT,2004,122000,Gasoline,Manual,Gold,Black,At least 1 accident or damage reported,Yes,9999
BMW,M4 Base,2016,62500,Gasoline,Automatic,Black,Orange,At least 1 accident or damage reported,Yes,40500
Hyundai,Equus Signature,2013,72000,Gasoline,Automatic,Silver,Black,None reported,Yes,17500
BMW,M550 i xDrive,2020,40000,Gasoline,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,53000
Subaru,Impreza WRX STI,2014,77000,Gasoline,Manual,Gray,Black,At least 1 accident or damage reported,Yes,30000
Hyundai,Veloster Base,2013,800,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,9800
Maserati,GranTurismo Sport,2015,45000,Gasoline,Automatic,Black,Black,None reported,Yes,41900
INFINITI,M56 Base,2011,137000,Gasoline,Transmission w/Dual Shift Mode,Gray,Brown,At least 1 accident or damage reported,Yes,8500
Mazda,Mazda3 s Grand Touring,2016,85000,–,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18500
Chevrolet,Corvette Stingray w/1LT,2023,4000,Gasoline,Automatic,Black,Red,At least 1 accident or damage reported,Yes,73900
Lexus,GX 460 Base,2018,52100,Gasoline,Automatic,White,Beige,None reported,Yes,38000
BMW,X1 sDrive28i,2014,50100,Gasoline,Automatic,Brown,Beige,None reported,Yes,10795
Alfa,Romeo Stelvio Ti,2020,41000,Gasoline,Automatic,White,Black,None reported,Yes,32400
RAM,1500 Big Horn,2021,70968,Gasoline,Automatic,Black,Black,None reported,Yes,34000
BMW,M4 Base,2015,26600,Gasoline,Automatic,White,–,None reported,Yes,53000
Volvo,S90 T5 Momentum,2018,95000,Gasoline,Automatic,White,Beige,None reported,Yes,18000
Subaru,Impreza WRX Sti,2005,94000,Gasoline,Manual,Black,Blue,None reported,Yes,19500
Cadillac,CTS 2.0L Turbo Luxury,2014,110000,Gasoline,Automatic,Gold,Beige,None reported,Yes,11000
Genesis,G90 5.0 Ultimate,2017,63500,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,27500
Mercedes-benz,CLK-Class CLK 350,2009,21500,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18000
BMW,X1 xDrive28i,2020,18200,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,29500
Audi,R8 5.2,2015,51000,Gasoline,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,102000
Audi,S3 2.0T Tech Premium Plus,2018,16400,Gasoline,Automatic,Blue,Red,None reported,Yes,42800
Toyota,Tundra Hybrid TRD Pro,2022,7000,Hybrid,Automatic,Orange,–,None reported,Yes,75500
Audi,A6 2.0T Premium Plus,2016,68000,Gasoline,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,20000
BMW,328 xi,2007,83000,Gasoline,Automatic,Black,Brown,None reported,Yes,8995
Audi,SQ5 3.0T Prestige,2018,25000,Gasoline,Automatic,Gray,Black,None reported,Yes,50000
BMW,M235 i,2014,125450,Gasoline,Manual,Blue,Black,None reported,Yes,17200
Chevrolet,Express 3500 Base,2008,144000,Gasoline,Automatic,White,Gray,None reported,Yes,22000
GMC,Acadia SLE,2020,30900,Gasoline,Automatic,Summit white,Jet black,None reported,Yes,27654
